object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Label 1,1.0,0.0,296.0,9907.0,629.0,9928.0,649.0,9917.416,637.7973
1,0,2,0,Label 1,1.0,0.0,259.0,10778.0,714.0,10801.0,738.0,10788.927,725.417
2,0,3,0,Label 1,1.0,0.0,229.0,10706.0,919.0,10730.0,934.0,10717.376,925.66376
3,0,4,0,Label 1,1.0,0.0,493.0,10022.0,943.0,10052.0,968.0,10037.467,954.2394
4,0,5,0,Label 1,1.0,0.0,134.0,10418.0,969.0,10429.0,986.0,10422.635,976.56714
5,0,6,0,Label 1,1.0,0.0,255.0,10881.0,975.0,10906.0,991.0,10892.58,982.4667
6,0,7,0,Label 1,1.0,0.0,262.0,10262.0,1048.0,10277.0,1070.0,10269.2705,1058.397
7,0,8,0,Label 1,1.0,0.0,111.0,10546.0,1051.0,10561.0,1060.0,10553.567,1054.8739
8,0,9,0,Label 1,1.0,0.0,363.0,10503.0,1105.0,10529.0,1125.0,10515.672,1113.9312
9,0,10,0,Label 1,1.0,0.0,454.0,10468.0,1108.0,10495.0,1131.0,10481.068,1118.3656
10,0,11,0,Label 1,1.0,0.0,279.0,10397.0,1109.0,10415.0,1131.0,10405.352,1119.5663
11,0,12,0,Label 1,1.0,0.0,340.0,10497.0,1158.0,10513.0,1187.0,10503.974,1172.3176
12,0,13,0,Label 1,1.0,0.0,81.0,5225.0,1197.0,5238.0,1207.0,5230.926,1201.4445
13,0,14,0,Label 1,1.0,0.0,391.0,10511.0,1236.0,10532.0,1261.0,10520.294,1247.9565
14,0,15,0,Label 1,1.0,0.0,339.0,8808.0,1237.0,8827.0,1259.0,8816.812,1247.4248
15,0,16,0,Label 1,1.0,0.0,407.0,5334.0,1252.0,5363.0,1271.0,5346.113,1260.6143
16,0,17,0,Label 1,1.0,0.0,115.0,5176.0,1254.0,5187.0,1269.0,5181.2085,1261.6696
17,0,18,0,Label 1,1.0,0.0,187.0,5099.0,1261.0,5120.0,1273.0,5108.973,1266.9412
18,0,19,0,Label 1,1.0,0.0,74.0,5684.0,1270.0,5695.0,1280.0,5689.1216,1274.8379
19,0,20,0,Label 1,1.0,0.0,433.0,8832.0,1375.0,8849.0,1407.0,8840.379,1390.4526
20,0,21,0,Label 1,1.0,0.0,504.0,5863.0,1381.0,5887.0,1410.0,5874.5835,1395.3135
21,0,22,0,Label 1,1.0,0.0,106.0,4889.0,1385.0,4901.0,1398.0,4894.6416,1390.8773
22,0,23,0,Label 1,1.0,0.0,378.0,5369.0,1418.0,5389.0,1441.0,5378.3306,1429.9762
23,0,24,0,Label 1,1.0,0.0,199.0,4513.0,1479.0,4529.0,1497.0,4520.7236,1487.5226
24,0,25,0,Label 1,1.0,0.0,241.0,8700.0,1500.0,8723.0,1513.0,8711.187,1506.253
25,0,26,0,Label 1,1.0,0.0,331.0,10455.0,1503.0,10479.0,1521.0,10466.665,1511.1571
26,0,27,0,Label 1,1.0,0.0,102.0,8875.0,1518.0,8884.0,1534.0,8878.657,1526.0883
27,0,28,0,Label 1,1.0,0.0,288.0,8662.0,1523.0,8685.0,1546.0,8671.393,1532.9757
28,0,29,0,Label 1,1.0,0.0,321.0,5077.0,1579.0,5099.0,1608.0,5086.318,1592.4984
29,0,30,0,Label 1,1.0,0.0,227.0,4500.0,1598.0,4522.0,1612.0,4510.238,1603.934
30,0,31,0,Label 1,1.0,0.0,55.0,5176.0,1621.0,5184.0,1634.0,5179.364,1627.0364
31,0,32,0,Label 1,1.0,0.0,276.0,7516.0,1639.0,7532.0,1664.0,7523.703,1650.8406
32,0,33,0,Label 1,1.0,0.0,44.0,10968.0,1647.0,10976.0,1655.0,10971.591,1650.25
33,0,34,0,Label 1,1.0,0.0,185.0,8142.0,1648.0,8157.0,1668.0,8148.5786,1657.573
34,0,35,0,Label 1,1.0,0.0,245.0,9460.0,1690.0,9476.0,1714.0,9467.163,1701.9755
35,0,36,0,Label 1,1.0,0.0,85.0,9222.0,1703.0,9230.0,1717.0,9225.329,1709.5883
36,0,37,0,Label 1,1.0,0.0,429.0,9068.0,1709.0,9096.0,1738.0,9081.014,1723.746
37,0,38,0,Label 1,1.0,0.0,116.0,5006.0,1714.0,5015.0,1730.0,5010.069,1721.3448
38,0,39,0,Label 1,1.0,0.0,63.0,9299.0,1714.0,9308.0,1724.0,9302.477,1718.5555
39,0,40,0,Label 1,1.0,0.0,39.0,9200.0,1717.0,9209.0,1723.0,9204.41,1719.641
40,0,41,0,Label 1,1.0,0.0,231.0,9446.0,1718.0,9462.0,1736.0,9453.653,1726.593
41,0,42,0,Label 1,1.0,0.0,128.0,10456.0,1722.0,10470.0,1736.0,10463.234,1728.3047
42,0,43,0,Label 1,1.0,0.0,285.0,10522.0,1742.0,10543.0,1760.0,10531.898,1750.5264
43,0,44,0,Label 1,1.0,0.0,380.0,8468.0,1755.0,8489.0,1779.0,8478.519,1767.3816
44,0,45,0,Label 1,1.0,0.0,144.0,8658.0,1802.0,8673.0,1814.0,8665.34,1807.132
45,0,46,0,Label 1,1.0,0.0,182.0,4394.0,1814.0,4411.0,1828.0,4402.077,1820.1318
46,0,47,0,Label 1,1.0,0.0,349.0,8726.0,1882.0,8751.0,1902.0,8737.676,1891.9685
47,0,48,0,Label 1,1.0,0.0,184.0,9297.0,1896.0,9313.0,1919.0,9304.805,1908.4457
48,0,49,0,Label 1,1.0,0.0,445.0,8475.0,1913.0,8504.0,1941.0,8488.886,1926.0472
49,0,50,0,Label 1,1.0,0.0,44.0,4180.0,1914.0,4187.0,1921.0,4182.8184,1916.8182
50,0,51,0,Label 1,1.0,0.0,215.0,8307.0,1929.0,8324.0,1946.0,8315.187,1937.4884
51,0,52,0,Label 1,1.0,0.0,320.0,4879.0,1932.0,4904.0,1949.0,4890.8374,1939.7219
52,0,53,0,Label 1,1.0,0.0,30.0,7068.0,1935.0,7075.0,1941.0,7070.7666,1938.0
53,0,54,0,Label 1,1.0,0.0,368.0,5089.0,1969.0,5107.0,1996.0,5097.878,1980.7664
54,0,55,0,Label 1,1.0,0.0,159.0,7891.0,1982.0,7907.0,2001.0,7897.604,1989.0441
55,0,56,0,Label 1,1.0,0.0,81.0,4949.0,1985.0,4958.0,1998.0,4952.6294,1991.5186
56,0,57,0,Label 1,1.0,0.0,10.0,7904.0,1994.0,7907.0,1999.0,7905.2,1996.3
57,0,58,0,Label 1,1.0,0.0,491.0,6808.0,2033.0,6837.0,2070.0,6823.275,2052.3176
58,0,59,0,Label 1,1.0,0.0,319.0,5286.0,2054.0,5304.0,2077.0,5294.9688,2065.7805
59,0,60,0,Label 1,1.0,0.0,286.0,3779.0,2058.0,3798.0,2086.0,3787.5176,2073.1677
60,0,61,0,Label 1,1.0,0.0,201.0,5711.0,2070.0,5725.0,2092.0,5717.771,2080.806
61,0,62,0,Label 1,1.0,0.0,77.0,5002.0,2074.0,5011.0,2086.0,5005.844,2079.8052
62,0,63,0,Label 1,1.0,0.0,267.0,8249.0,2086.0,8266.0,2111.0,8256.947,2096.9138
63,0,64,0,Label 1,1.0,0.0,489.0,7237.0,2090.0,7264.0,2119.0,7250.014,2104.135
64,0,65,0,Label 1,1.0,0.0,241.0,7739.0,2092.0,7755.0,2113.0,7745.892,2102.5186
65,0,66,0,Label 1,1.0,0.0,102.0,7081.0,2098.0,7094.0,2111.0,7086.6177,2104.3823
66,0,67,0,Label 1,1.0,0.0,133.0,10368.0,2098.0,10383.0,2110.0,10374.707,2103.7969
67,0,68,0,Label 1,1.0,0.0,51.0,10251.0,2099.0,10260.0,2108.0,10255.98,2103.5293
