object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Label 1,1.0,0.0,226.0,13874.0,569.0,13891.0,587.0,13882.385,577.67255
1,0,2,0,Label 1,1.0,0.0,168.0,14281.0,617.0,14295.0,634.0,14287.423,624.6905
2,0,3,0,Label 1,1.0,0.0,368.0,13604.0,899.0,13629.0,922.0,13617.233,910.7038
3,0,4,0,Label 1,1.0,0.0,417.0,13972.0,922.0,13996.0,952.0,13982.979,937.8993
4,0,5,0,Label 1,1.0,0.0,239.0,11539.0,1094.0,11561.0,1109.0,11549.59,1100.6151
5,0,6,0,Label 1,1.0,0.0,279.0,11437.0,1142.0,11454.0,1166.0,11445.204,1153.0143
6,0,7,0,Label 1,1.0,0.0,174.0,13597.0,1198.0,13616.0,1210.0,13606.012,1203.2816
7,0,8,0,Label 1,1.0,0.0,141.0,11122.0,1237.0,11146.0,1247.0,11133.965,1242.2411
8,0,9,0,Label 1,1.0,0.0,24.0,10877.0,1333.0,10882.0,1339.0,10878.833,1335.125
9,0,10,0,Label 1,1.0,0.0,223.0,14403.0,1543.0,14430.0,1562.0,14414.623,1552.2781
10,0,11,0,Label 1,1.0,0.0,294.0,11491.0,1580.0,11509.0,1604.0,11500.003,1591.9354
11,0,12,0,Label 1,1.0,0.0,304.0,13726.0,1581.0,13749.0,1599.0,13737.26,1590.1776
12,0,13,0,Label 1,1.0,0.0,233.0,9795.0,1642.0,9818.0,1659.0,9805.876,1649.9357
13,0,14,0,Label 1,1.0,0.0,295.0,12822.0,1670.0,12846.0,1689.0,12833.864,1678.7119
14,0,15,0,Label 1,1.0,0.0,391.0,15011.0,1703.0,15038.0,1728.0,15025.169,1715.9309
15,0,16,0,Label 1,1.0,0.0,211.0,13345.0,1741.0,13368.0,1754.0,13356.621,1747.3081
16,0,17,0,Label 1,1.0,0.0,265.0,14321.0,1890.0,14341.0,1908.0,14330.626,1898.8906
17,0,18,0,Label 1,1.0,0.0,313.0,11963.0,1894.0,11993.0,1910.0,11976.834,1900.9393
18,0,19,0,Label 1,1.0,0.0,80.0,12463.0,1907.0,12472.0,1920.0,12467.088,1912.8375
19,0,20,0,Label 1,1.0,0.0,340.0,14507.0,1985.0,14542.0,2005.0,14521.791,1992.3147
20,0,21,0,Label 1,1.0,0.0,356.0,14633.0,2043.0,14664.0,2061.0,14646.859,2051.059
21,0,22,0,Label 1,1.0,0.0,243.0,12796.0,2104.0,12812.0,2124.0,12803.732,2112.9795
22,0,23,0,Label 1,1.0,0.0,168.0,10447.0,2109.0,10462.0,2124.0,10454.31,2116.0356
23,0,24,0,Label 1,1.0,0.0,187.0,11155.0,2112.0,11171.0,2129.0,11162.021,2119.7273
24,0,25,0,Label 1,1.0,0.0,264.0,13383.0,2169.0,13408.0,2191.0,13395.641,2179.447
25,0,26,0,Label 1,1.0,0.0,220.0,10024.0,2218.0,10043.0,2232.0,10032.7,2224.4226
26,0,27,0,Label 1,1.0,0.0,125.0,16202.0,2237.0,16215.0,2248.0,16208.144,2242.032
27,0,28,0,Label 1,1.0,0.0,255.0,9508.0,2330.0,9531.0,2344.0,9519.043,2336.1687
28,0,29,0,Label 1,1.0,0.0,217.0,14921.0,2443.0,14940.0,2459.0,14929.944,2449.894
29,0,30,0,Label 1,1.0,0.0,123.0,13629.0,2448.0,13644.0,2460.0,13635.724,2453.7642
30,0,31,0,Label 1,1.0,0.0,35.0,16710.0,2458.0,16715.0,2466.0,16712.258,2461.7144
31,0,32,0,Label 1,1.0,0.0,234.0,9290.0,2522.0,9311.0,2537.0,9300.162,2528.205
32,0,33,0,Label 1,1.0,0.0,226.0,12412.0,2584.0,12431.0,2599.0,12421.248,2590.6726
33,0,34,0,Label 1,1.0,0.0,86.0,12162.0,2653.0,12172.0,2665.0,12166.477,2658.1628
34,0,35,0,Label 1,1.0,0.0,264.0,13999.0,2663.0,14020.0,2682.0,14008.845,2672.1365
35,0,36,0,Label 1,1.0,0.0,231.0,15668.0,2664.0,15682.0,2685.0,15674.329,2674.9265
36,0,37,0,Label 1,1.0,0.0,291.0,12841.0,2692.0,12866.0,2714.0,12852.0205,2702.8557
37,0,38,0,Label 1,1.0,0.0,116.0,12508.0,2731.0,12521.0,2745.0,12514.439,2737.8103
38,0,39,0,Label 1,1.0,0.0,253.0,14155.0,2816.0,14169.0,2842.0,14161.099,2827.917
39,0,40,0,Label 1,1.0,0.0,221.0,14770.0,2838.0,14789.0,2853.0,14779.488,2844.8506
40,0,41,0,Label 1,1.0,0.0,360.0,14360.0,2900.0,14388.0,2921.0,14374.155,2910.3
41,0,42,0,Label 1,1.0,0.0,208.0,13526.0,2901.0,13541.0,2919.0,13532.342,2910.0095
42,0,43,0,Label 1,1.0,0.0,255.0,9327.0,2902.0,9342.0,2925.0,9334.282,2913.353
43,0,44,0,Label 1,1.0,0.0,291.0,12253.0,2941.0,12272.0,2961.0,12262.973,2949.6633
44,0,45,0,Label 1,1.0,0.0,327.0,12977.0,2955.0,13009.0,2975.0,12993.618,2963.6177
45,0,46,0,Label 1,1.0,0.0,188.0,13150.0,3006.0,13164.0,3026.0,13156.33,3015.8137
46,0,47,0,Label 1,1.0,0.0,124.0,11006.0,3012.0,11019.0,3025.0,11012.0,3018.0
47,0,48,0,Label 1,1.0,0.0,193.0,12448.0,3148.0,12460.0,3171.0,12453.751,3158.777
48,0,49,0,Label 1,1.0,0.0,227.0,9223.0,3219.0,9241.0,3239.0,9231.348,3228.8943
49,0,50,0,Label 1,1.0,0.0,139.0,13092.0,3270.0,13109.0,3281.0,13099.936,3274.6187
50,0,51,0,Label 1,1.0,0.0,193.0,16710.0,3364.0,16726.0,3382.0,16717.26,3372.0415
51,0,52,0,Label 1,1.0,0.0,69.0,10612.0,3390.0,10623.0,3399.0,10617.218,3394.029
52,0,53,0,Label 1,1.0,0.0,210.0,16604.0,3416.0,16625.0,3431.0,16613.7,3422.5334
53,0,54,0,Label 1,1.0,0.0,176.0,12365.0,3544.0,12383.0,3557.0,12373.574,3549.6194
54,0,55,0,Label 1,1.0,0.0,158.0,13210.0,3605.0,13227.0,3618.0,13217.905,3611.038
55,0,56,0,Label 1,1.0,0.0,11.0,15452.0,3607.0,15456.0,3611.0,15453.818,3608.3635
56,0,57,0,Label 1,1.0,0.0,174.0,15455.0,3615.0,15468.0,3632.0,15460.787,3623.023
57,0,58,0,Label 1,1.0,0.0,253.0,9148.0,3666.0,9167.0,3683.0,9157.099,3674.3083
58,0,59,0,Label 1,1.0,0.0,225.0,15321.0,3689.0,15343.0,3706.0,15331.484,3695.9866
59,0,60,0,Label 1,1.0,0.0,292.0,10064.0,3693.0,10085.0,3716.0,10073.469,3704.3152
60,0,61,0,Label 1,1.0,0.0,258.0,10731.0,3696.0,10750.0,3714.0,10739.752,3704.845
61,0,62,0,Label 1,1.0,0.0,349.0,9063.0,3829.0,9080.0,3858.0,9071.281,3842.407
62,0,63,0,Label 1,1.0,0.0,190.0,14494.0,3839.0,14507.0,3860.0,14500.41,3848.7422
63,0,64,0,Label 1,1.0,0.0,356.0,11844.0,3860.0,11870.0,3879.0,11856.972,3868.4521
64,0,65,0,Label 1,1.0,0.0,165.0,9595.0,3906.0,9613.0,3918.0,9603.079,3911.8909
65,0,66,0,Label 1,1.0,0.0,275.0,15949.0,3943.0,15966.0,3966.0,15956.967,3954.171
66,0,67,0,Label 1,1.0,0.0,141.0,12985.0,3945.0,13000.0,3960.0,12991.6455,3952.22
67,0,68,0,Label 1,1.0,0.0,68.0,11740.0,3973.0,11748.0,3983.0,11743.75,3976.9119
68,0,69,0,Label 1,1.0,0.0,296.0,15604.0,4100.0,15622.0,4123.0,15612.527,4111.5103
69,0,70,0,Label 1,1.0,0.0,110.0,10100.0,4106.0,10113.0,4118.0,10105.818,4111.7363
70,0,71,0,Label 1,1.0,0.0,208.0,10508.0,4179.0,10522.0,4197.0,10514.962,4187.885
71,0,72,0,Label 1,1.0,0.0,315.0,16064.0,4180.0,16081.0,4206.0,16072.705,4190.8604
72,0,73,0,Label 1,1.0,0.0,238.0,14571.0,4188.0,14586.0,4207.0,14578.437,4196.8403
73,0,74,0,Label 1,1.0,0.0,213.0,14352.0,4217.0,14367.0,4236.0,14359.329,4226.0093
74,0,75,0,Label 1,1.0,0.0,182.0,13778.0,4243.0,13790.0,4262.0,13783.818,4252.143
75,0,76,0,Label 1,1.0,0.0,93.0,9543.0,4267.0,9555.0,4278.0,9548.936,4271.5913
76,0,77,0,Label 1,1.0,0.0,166.0,12997.0,4272.0,13012.0,4287.0,13003.819,4279.06
77,0,78,0,Label 1,1.0,0.0,347.0,12455.0,4309.0,12479.0,4328.0,12466.842,4317.7837
78,0,79,0,Label 1,1.0,0.0,247.0,15986.0,4340.0,16004.0,4357.0,15994.255,4348.494
79,0,80,0,Label 1,1.0,0.0,278.0,11742.0,4413.0,11757.0,4438.0,11748.863,4425.781
80,0,81,0,Label 1,1.0,0.0,164.0,12864.0,4443.0,12876.0,4460.0,12869.799,4451.768
81,0,82,0,Label 1,1.0,0.0,132.0,11483.0,4460.0,11495.0,4474.0,11488.409,4466.659
82,0,83,0,Label 1,1.0,0.0,285.0,13870.0,4480.0,13888.0,4502.0,13878.474,4490.5894
83,0,84,0,Label 1,1.0,0.0,128.0,15304.0,4537.0,15318.0,4551.0,15310.719,4542.7344
84,0,85,0,Label 1,1.0,0.0,206.0,11838.0,4584.0,11854.0,4603.0,11844.631,4593.204
85,0,86,0,Label 1,1.0,0.0,160.0,14387.0,4602.0,14402.0,4617.0,14393.463,4609.3564
86,0,87,0,Label 1,1.0,0.0,261.0,15523.0,4634.0,15537.0,4660.0,15528.647,4646.816
87,0,88,0,Label 1,1.0,0.0,186.0,12981.0,4643.0,12996.0,4660.0,12987.897,4651.156
88,0,89,0,Label 1,1.0,0.0,212.0,17466.0,4693.0,17487.0,4708.0,17476.223,4700.0376
89,0,90,0,Label 1,1.0,0.0,181.0,17033.0,4696.0,17049.0,4712.0,17040.84,4703.5635
90,0,91,0,Label 1,1.0,0.0,150.0,18094.0,4787.0,18108.0,4800.0,18100.688,4792.74
91,0,92,0,Label 1,1.0,0.0,167.0,15971.0,4791.0,15985.0,4811.0,15976.94,4800.485
92,0,93,0,Label 1,1.0,0.0,370.0,10408.0,4807.0,10438.0,4828.0,10422.6,4816.8755
93,0,94,0,Label 1,1.0,0.0,74.0,15636.0,4829.0,15646.0,4841.0,15640.946,4834.919
94,0,95,0,Label 1,1.0,0.0,358.0,16325.0,4835.0,16347.0,4856.0,16335.159,4845.3965
95,0,96,0,Label 1,1.0,0.0,183.0,12071.0,4860.0,12082.0,4881.0,12076.273,4870.7705
96,0,97,0,Label 1,1.0,0.0,95.0,10695.0,4862.0,10707.0,4872.0,10700.758,4866.442
97,0,98,0,Label 1,1.0,0.0,186.0,15527.0,4865.0,15539.0,4890.0,15532.118,4879.269
98,0,99,0,Label 1,1.0,0.0,339.0,10191.0,4871.0,10217.0,4891.0,10205.2,4881.103
99,0,100,0,Label 1,1.0,0.0,342.0,13441.0,4932.0,13467.0,4949.0,13453.251,4939.588
100,0,101,0,Label 1,1.0,0.0,231.0,19059.0,4958.0,19078.0,4975.0,19067.744,4966.368
101,0,102,0,Label 1,1.0,0.0,177.0,11170.0,5038.0,11188.0,5051.0,11178.26,5043.8135
102,0,103,0,Label 1,1.0,0.0,95.0,11883.0,5041.0,11896.0,5051.0,11889.568,5045.7476
103,0,104,0,Label 1,1.0,0.0,271.0,10003.0,5073.0,10020.0,5094.0,10010.778,5083.8228
104,0,105,0,Label 1,1.0,0.0,179.0,13109.0,5177.0,13126.0,5192.0,13117.1455,5184.3296
105,0,106,0,Label 1,1.0,0.0,256.0,15729.0,5197.0,15753.0,5211.0,15741.258,5203.7305
106,0,107,0,Label 1,1.0,0.0,304.0,9486.0,5200.0,9503.0,5224.0,9493.99,5212.4014
107,0,108,0,Label 1,1.0,0.0,376.0,13637.0,5233.0,13670.0,5255.0,13652.851,5243.4014
108,0,109,0,Label 1,1.0,0.0,348.0,16690.0,5234.0,16707.0,5270.0,16697.361,5252.224
109,0,110,0,Label 1,1.0,0.0,97.0,15826.0,5248.0,15839.0,5260.0,15832.433,5253.5874
110,0,111,0,Label 1,1.0,0.0,134.0,10685.0,5316.0,10703.0,5325.0,10693.635,5320.1343
111,0,112,0,Label 1,1.0,0.0,249.0,11574.0,5353.0,11592.0,5372.0,11582.791,5361.518
112,0,113,0,Label 1,1.0,0.0,188.0,18693.0,5374.0,18710.0,5389.0,18701.596,5380.787
113,0,114,0,Label 1,1.0,0.0,322.0,18835.0,5435.0,18851.0,5465.0,18843.14,5449.317
114,0,115,0,Label 1,1.0,0.0,73.0,13842.0,5454.0,13852.0,5464.0,13846.452,5458.534
115,0,116,0,Label 1,1.0,0.0,311.0,11889.0,5467.0,11906.0,5494.0,11896.759,5479.8716
116,0,117,0,Label 1,1.0,0.0,307.0,16534.0,5502.0,16567.0,5521.0,16548.645,5511.7197
117,0,118,0,Label 1,1.0,0.0,216.0,18795.0,5584.0,18814.0,5600.0,18803.75,5591.0093
118,0,119,0,Label 1,1.0,0.0,249.0,9701.0,5602.0,9719.0,5621.0,9710.148,5611.325
119,0,120,0,Label 1,1.0,0.0,140.0,11248.0,5708.0,11263.0,5723.0,11254.9,5714.907
120,0,121,0,Label 1,1.0,0.0,290.0,9668.0,5724.0,9686.0,5744.0,9676.369,5733.2793
121,0,122,0,Label 1,1.0,0.0,159.0,10725.0,5728.0,10738.0,5744.0,10731.22,5735.478
122,0,123,0,Label 1,1.0,0.0,449.0,12147.0,5739.0,12178.0,5767.0,12161.802,5752.6216
123,0,124,0,Label 1,1.0,0.0,343.0,9113.0,5753.0,9132.0,5777.0,9122.621,5765.1514
124,0,125,0,Label 1,1.0,0.0,147.0,11843.0,5761.0,11854.0,5777.0,11848.293,5768.408
125,0,126,0,Label 1,1.0,0.0,255.0,15110.0,5803.0,15125.0,5826.0,15117.004,5814.702
126,0,127,0,Label 1,1.0,0.0,324.0,12888.0,5810.0,12907.0,5834.0,12895.969,5822.5986
127,0,128,0,Label 1,1.0,0.0,181.0,14305.0,5815.0,14319.0,5834.0,14311.249,5824.5083
128,0,129,0,Label 1,1.0,0.0,208.0,15221.0,5922.0,15237.0,5940.0,15228.842,5931.0
129,0,130,0,Label 1,1.0,0.0,146.0,15393.0,5945.0,15407.0,5959.0,15399.205,5951.4727
130,0,131,0,Label 1,1.0,0.0,349.0,8480.0,6113.0,8505.0,6140.0,8492.776,6125.966
131,0,132,0,Label 1,1.0,0.0,145.0,17998.0,6118.0,18016.0,6129.0,18006.082,6123.3174
132,0,133,0,Label 1,1.0,0.0,309.0,14961.0,6120.0,14978.0,6144.0,14968.783,6131.6084
133,0,134,0,Label 1,1.0,0.0,128.0,18680.0,6149.0,18692.0,6163.0,18685.477,6155.828
134,0,135,0,Label 1,1.0,0.0,228.0,17137.0,6159.0,17154.0,6177.0,17144.838,6167.5703
135,0,136,0,Label 1,1.0,0.0,315.0,10067.0,6177.0,10087.0,6199.0,10076.419,6187.3906
136,0,137,0,Label 1,1.0,0.0,284.0,9756.0,6195.0,9782.0,6210.0,9768.296,6202.1196
137,0,138,0,Label 1,1.0,0.0,272.0,13086.0,6287.0,13106.0,6304.0,13095.867,6295.2095
138,0,139,0,Label 1,1.0,0.0,281.0,13664.0,6290.0,13683.0,6310.0,13672.608,6299.3774
139,0,140,0,Label 1,1.0,0.0,177.0,12446.0,6349.0,12462.0,6365.0,12453.548,6356.6724
140,0,141,0,Label 1,1.0,0.0,159.0,15893.0,6359.0,15908.0,6373.0,15900.119,6365.384
141,0,142,0,Label 1,1.0,0.0,342.0,16634.0,6470.0,16655.0,6498.0,16642.508,6482.5674
142,0,143,0,Label 1,1.0,0.0,252.0,15249.0,6526.0,15274.0,6538.0,15260.591,6531.7617
143,0,144,0,Label 1,1.0,0.0,166.0,15993.0,6560.0,16006.0,6576.0,15999.572,6567.8613
144,0,145,0,Label 1,1.0,0.0,264.0,14315.0,6589.0,14335.0,6606.0,14324.436,6597.0566
145,0,146,0,Label 1,1.0,0.0,283.0,10165.0,6652.0,10181.0,6675.0,10172.572,6662.5337
146,0,147,0,Label 1,1.0,0.0,227.0,12887.0,6654.0,12903.0,6675.0,12895.026,6663.286
147,0,148,0,Label 1,1.0,0.0,129.0,16040.0,6702.0,16052.0,6717.0,16045.287,6708.876
148,0,149,0,Label 1,1.0,0.0,204.0,17255.0,6761.0,17276.0,6773.0,17264.848,6766.436
149,0,150,0,Label 1,1.0,0.0,81.0,8852.0,6766.0,8862.0,6777.0,8856.296,6771.1978
150,0,151,0,Label 1,1.0,0.0,277.0,18070.0,6769.0,18092.0,6786.0,18080.588,6777.1157
151,0,152,0,Label 1,1.0,0.0,321.0,8668.0,6782.0,8688.0,6802.0,8677.922,6791.411
152,0,153,0,Label 1,1.0,0.0,104.0,12863.0,6817.0,12875.0,6834.0,12867.135,6825.135
153,0,154,0,Label 1,1.0,0.0,192.0,18622.0,6828.0,18642.0,6840.0,18631.578,6833.078
154,0,155,0,Label 1,1.0,0.0,304.0,9722.0,6959.0,9742.0,6979.0,9731.954,6968.0
155,0,156,0,Label 1,1.0,0.0,150.0,16534.0,6959.0,16551.0,6971.0,16542.127,6964.567
156,0,157,0,Label 1,1.0,0.0,120.0,11982.0,6970.0,11997.0,6981.0,11989.083,6974.8667
157,0,158,0,Label 1,1.0,0.0,271.0,12585.0,7044.0,12600.0,7067.0,12591.923,7055.0186
158,0,159,0,Label 1,1.0,0.0,242.0,9888.0,7069.0,9908.0,7085.0,9897.314,7076.6323
159,0,160,0,Label 1,1.0,0.0,228.0,16432.0,7075.0,16450.0,7093.0,16440.846,7083.066
160,0,161,0,Label 1,1.0,0.0,271.0,12255.0,7098.0,12273.0,7118.0,12263.336,7107.9336
161,0,162,0,Label 1,1.0,0.0,295.0,12422.0,7165.0,12437.0,7188.0,12429.058,7175.878
162,0,163,0,Label 1,1.0,0.0,305.0,8231.0,7187.0,8247.0,7214.0,8238.22,7200.708
163,0,164,0,Label 1,1.0,0.0,237.0,18554.0,7198.0,18573.0,7223.0,18562.992,7209.4175
164,0,165,0,Label 1,1.0,0.0,278.0,17953.0,7304.0,17974.0,7321.0,17962.572,7311.957
165,0,166,0,Label 1,1.0,0.0,278.0,8383.0,7341.0,8398.0,7365.0,8389.633,7351.986
166,0,167,0,Label 1,1.0,0.0,230.0,11996.0,7424.0,12013.0,7440.0,12004.431,7431.9087
167,0,168,0,Label 1,1.0,0.0,220.0,16324.0,7498.0,16339.0,7518.0,16331.214,7508.018
168,0,169,0,Label 1,1.0,0.0,125.0,9431.0,7502.0,9446.0,7513.0,9438.344,7507.088
169,0,170,0,Label 1,1.0,0.0,42.0,7727.0,7597.0,7735.0,7604.0,7730.524,7599.905
170,0,171,0,Label 1,1.0,0.0,195.0,7919.0,7711.0,7933.0,7730.0,7925.4204,7719.923
171,0,172,0,Label 1,1.0,0.0,183.0,15921.0,7735.0,15938.0,7751.0,15928.574,7742.2075
172,0,173,0,Label 1,1.0,0.0,267.0,11760.0,7744.0,11778.0,7764.0,11768.712,7753.412
173,0,174,0,Label 1,1.0,0.0,247.0,16542.0,7805.0,16561.0,7821.0,16551.105,7811.9917
174,0,175,0,Label 1,1.0,0.0,268.0,17426.0,7912.0,17449.0,7927.0,17437.316,7919.1416
175,0,176,0,Label 1,1.0,0.0,31.0,14816.0,7924.0,14821.0,7932.0,14817.742,7927.5483
176,0,177,0,Label 1,1.0,0.0,225.0,9817.0,7952.0,9834.0,7971.0,9824.733,7961.3154
177,0,178,0,Label 1,1.0,0.0,237.0,11947.0,7992.0,11961.0,8013.0,11953.358,8001.6035
178,0,179,0,Label 1,1.0,0.0,103.0,8682.0,8068.0,8690.0,8084.0,8685.34,8075.6406
179,0,180,0,Label 1,1.0,0.0,53.0,14392.0,8141.0,14401.0,8150.0,14395.925,8145.2075
180,0,181,0,Label 1,1.0,0.0,46.0,15236.0,8156.0,15243.0,8164.0,15239.108,8159.609
181,0,182,0,Label 1,1.0,0.0,252.0,8895.0,8293.0,8916.0,8309.0,8905.04,8300.373
182,0,183,0,Label 1,1.0,0.0,90.0,14290.0,8314.0,14301.0,8326.0,14294.922,8319.578
183,0,184,0,Label 1,1.0,0.0,150.0,7778.0,8331.0,7794.0,8343.0,7785.453,8336.0
184,0,185,0,Label 1,1.0,0.0,255.0,9451.0,8351.0,9474.0,8366.0,9462.353,8357.792
185,0,186,0,Label 1,1.0,0.0,359.0,10177.0,8401.0,10202.0,8428.0,10189.83,8414.045
186,0,187,0,Label 1,1.0,0.0,178.0,15080.0,8412.0,15094.0,8429.0,15086.741,8420.236
187,0,188,0,Label 1,1.0,0.0,245.0,9700.0,8435.0,9715.0,8461.0,9707.886,8447.266
188,0,189,0,Label 1,1.0,0.0,241.0,15844.0,8442.0,15857.0,8465.0,15849.946,8452.926
189,0,190,0,Label 1,1.0,0.0,231.0,9358.0,8449.0,9373.0,8469.0,9365.194,8458.477
190,0,191,0,Label 1,1.0,0.0,261.0,10714.0,8552.0,10733.0,8570.0,10722.958,8560.345
191,0,192,0,Label 1,1.0,0.0,305.0,15758.0,8603.0,15773.0,8631.0,15765.403,8615.816
192,0,193,0,Label 1,1.0,0.0,295.0,13366.0,8646.0,13381.0,8672.0,13373.112,8658.4375
193,0,194,0,Label 1,1.0,0.0,281.0,10703.0,8678.0,10731.0,8692.0,10716.676,8685.057
194,0,195,0,Label 1,1.0,0.0,107.0,15216.0,8723.0,15228.0,8736.0,15221.262,8729.149
195,0,196,0,Label 1,1.0,0.0,252.0,14930.0,8853.0,14945.0,8873.0,14936.437,8862.143
196,0,197,0,Label 1,1.0,0.0,189.0,9702.0,8868.0,9719.0,8884.0,9709.514,8874.825
197,0,198,0,Label 1,1.0,0.0,92.0,12182.0,9050.0,12193.0,9064.0,12187.044,9056.358
198,0,199,0,Label 1,1.0,0.0,249.0,11517.0,9150.0,11535.0,9169.0,11525.614,9159.249
199,0,200,0,Label 1,1.0,0.0,35.0,12604.0,9156.0,12609.0,9166.0,12605.942,9160.942
200,0,201,0,Label 1,1.0,0.0,161.0,14855.0,9235.0,14869.0,9250.0,14861.3545,9242.3545
201,0,202,0,Label 1,1.0,0.0,245.0,12312.0,9290.0,12326.0,9319.0,12318.4,9303.502
202,0,203,0,Label 1,1.0,0.0,52.0,2373.0,9301.0,2381.0,9310.0,2376.5,9305.077
