object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Label 1,1.0,0.0,24.0,10871.0,1443.0,10878.0,1449.0,10874.375,1446.0
1,0,2,0,Label 1,1.0,0.0,59.0,11047.0,1461.0,11057.0,1472.0,11050.797,1466.0847
2,0,3,0,Label 1,1.0,0.0,227.0,4859.0,2570.0,4874.0,2592.0,4867.304,2580.718
3,0,4,0,Label 1,1.0,0.0,50.0,7292.0,2732.0,7300.0,2740.0,7295.3,2735.2
4,0,5,0,Label 1,1.0,0.0,249.0,7260.0,2739.0,7279.0,2761.0,7267.924,2747.1326
5,0,6,0,Label 1,1.0,0.0,229.0,7688.0,2753.0,7710.0,2769.0,7698.7163,2760.629
6,0,7,0,Label 1,1.0,0.0,150.0,6303.0,2754.0,6318.0,2770.0,6311.067,2760.64
7,0,8,0,Label 1,1.0,0.0,212.0,7116.0,2758.0,7128.0,2781.0,7121.505,2768.585
8,0,9,0,Label 1,1.0,0.0,260.0,5891.0,2760.0,5913.0,2780.0,5900.904,2770.504
9,0,10,0,Label 1,1.0,0.0,68.0,6292.0,2761.0,6301.0,2772.0,6295.353,2765.2646
10,0,11,0,Label 1,1.0,0.0,189.0,7755.0,2771.0,7774.0,2785.0,7764.116,2778.1006
11,0,12,0,Label 1,1.0,0.0,64.0,7153.0,2772.0,7165.0,2783.0,7157.922,2776.9688
12,0,13,0,Label 1,1.0,0.0,26.0,7162.0,2792.0,7168.0,2798.0,7164.654,2794.8076
13,0,14,0,Label 1,1.0,0.0,181.0,5730.0,2802.0,5750.0,2816.0,5739.1436,2808.2874
14,0,15,0,Label 1,1.0,0.0,398.0,6967.0,2805.0,6990.0,2843.0,6978.025,2824.1257
15,0,16,0,Label 1,1.0,0.0,188.0,7095.0,2810.0,7109.0,2832.0,7100.335,2819.9575
16,0,17,0,Label 1,1.0,0.0,180.0,4604.0,2814.0,4615.0,2837.0,4609.628,2823.45
