object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
0,0,1,0,Label 1,1.0,0.0,177.0,12424.0,1496.0,12442.0,1509.0,12431.785,1502.5254
1,0,2,0,Label 1,1.0,0.0,225.0,13927.0,1813.0,13951.0,1835.0,13937.934,1824.8844
2,0,3,0,Label 1,1.0,0.0,231.0,13677.0,2001.0,13692.0,2022.0,13684.182,2011.2943
3,0,4,0,Label 1,1.0,0.0,193.0,12360.0,2085.0,12382.0,2096.0,12370.44,2090.109
4,0,5,0,Label 1,1.0,0.0,190.0,14181.0,2167.0,14199.0,2181.0,14189.806,2173.521
5,0,6,0,Label 1,1.0,0.0,144.0,12459.0,2193.0,12472.0,2208.0,12465.639,2199.9307
6,0,7,0,Label 1,1.0,0.0,341.0,13065.0,2389.0,13083.0,2415.0,13073.199,2401.0586
7,0,8,0,Label 1,1.0,0.0,21.0,15131.0,2648.0,15136.0,2653.0,15132.762,2649.6667
8,0,9,0,Label 1,1.0,0.0,217.0,11493.0,2755.0,11512.0,2770.0,11502.525,2762.5576
9,0,10,0,Label 1,1.0,0.0,217.0,11967.0,2802.0,11984.0,2821.0,11974.89,2810.5852
10,0,11,0,Label 1,1.0,0.0,380.0,9946.0,2834.0,9969.0,2855.0,9956.442,2843.9026
11,0,12,0,Label 1,1.0,0.0,95.0,12937.0,2891.0,12949.0,2902.0,12942.979,2895.8315
12,0,13,0,Label 1,1.0,0.0,325.0,14429.0,2917.0,14447.0,2939.0,14437.68,2927.8308
13,0,14,0,Label 1,1.0,0.0,294.0,9763.0,3082.0,9787.0,3097.0,9774.596,3088.289
14,0,15,0,Label 1,1.0,0.0,357.0,10871.0,3145.0,10909.0,3161.0,10888.493,3152.9636
15,0,16,0,Label 1,1.0,0.0,356.0,10680.0,3189.0,10701.0,3216.0,10690.087,3201.4521
16,0,17,0,Label 1,1.0,0.0,333.0,14651.0,3260.0,14666.0,3287.0,14658.339,3273.2432
17,0,18,0,Label 1,1.0,0.0,123.0,14338.0,3280.0,14351.0,3293.0,14343.87,3285.7966
18,0,19,0,Label 1,1.0,0.0,369.0,12565.0,3290.0,12601.0,3303.0,12581.935,3296.1843
19,0,20,0,Label 1,1.0,0.0,151.0,16791.0,3316.0,16806.0,3329.0,16797.701,3322.3975
20,0,21,0,Label 1,1.0,0.0,215.0,15190.0,3348.0,15211.0,3362.0,15200.005,3354.6
21,0,22,0,Label 1,1.0,0.0,202.0,12460.0,3353.0,12476.0,3371.0,12467.728,3361.3564
22,0,23,0,Label 1,1.0,0.0,412.0,16185.0,3353.0,16205.0,3385.0,16193.752,3369.221
23,0,24,0,Label 1,1.0,0.0,240.0,13265.0,3429.0,13283.0,3445.0,13273.792,3436.7708
24,0,25,0,Label 1,1.0,0.0,324.0,14877.0,3450.0,14904.0,3468.0,14890.179,3458.744
