object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
55,0,56,0,Label 1,1.0,0.0,357.0,11798.0,5310.0,11820.0,5340.0,11809.516,5323.5967
56,0,57,0,Label 1,1.0,0.0,282.0,15522.0,5393.0,15545.0,5410.0,15532.929,5401.7944
57,0,58,0,Label 1,1.0,0.0,104.0,17062.0,5420.0,17074.0,5432.0,17067.875,5425.279
58,0,59,0,Label 1,1.0,0.0,274.0,15550.0,5529.0,15566.0,5552.0,15557.307,5540.31
59,0,60,0,Label 1,1.0,0.0,199.0,11954.0,5533.0,11973.0,5548.0,11962.5625,5540.322
60,0,61,0,Label 1,1.0,0.0,317.0,11320.0,5563.0,11343.0,5586.0,11330.729,5574.694
61,0,62,0,Label 1,1.0,0.0,307.0,15908.0,5579.0,15928.0,5600.0,15917.576,5589.4756
62,0,63,0,Label 1,1.0,0.0,101.0,11842.0,5601.0,11852.0,5615.0,11846.178,5607.2275
63,0,64,0,Label 1,1.0,0.0,253.0,16673.0,5621.0,16693.0,5638.0,16682.162,5628.2686
64,0,65,0,Label 1,1.0,0.0,310.0,10367.0,5632.0,10392.0,5647.0,10378.674,5638.516
65,0,66,0,Label 1,1.0,0.0,285.0,14035.0,5635.0,14053.0,5671.0,14043.958,5656.088
66,0,67,0,Label 1,1.0,0.0,247.0,10554.0,5655.0,10578.0,5669.0,10565.685,5661.421
67,0,68,0,Label 1,1.0,0.0,275.0,11101.0,5660.0,11123.0,5680.0,11110.92,5669.84
68,0,69,0,Label 1,1.0,0.0,328.0,10631.0,5694.0,10657.0,5721.0,10642.012,5707.579
69,0,70,0,Label 1,1.0,0.0,355.0,14374.0,5700.0,14397.0,5728.0,14385.0,5713.4395
70,0,71,0,Label 1,1.0,0.0,217.0,12140.0,5816.0,12158.0,5832.0,12148.631,5823.9956
71,0,72,0,Label 1,1.0,0.0,189.0,16890.0,5839.0,16907.0,5855.0,16897.746,5846.963
72,0,73,0,Label 1,1.0,0.0,186.0,13613.0,5858.0,13630.0,5874.0,13621.35,5865.28
73,0,74,0,Label 1,1.0,0.0,194.0,16721.0,5868.0,16736.0,5886.0,16727.691,5875.845
74,0,75,0,Label 1,1.0,0.0,354.0,15826.0,5871.0,15844.0,5899.0,15834.633,5885.0312
75,0,76,0,Label 1,1.0,0.0,315.0,11538.0,5878.0,11554.0,5904.0,11546.429,5890.7334
76,0,77,0,Label 1,1.0,0.0,283.0,16612.0,5936.0,16634.0,5953.0,16622.52,5943.859
77,0,78,0,Label 1,1.0,0.0,279.0,8885.0,6044.0,8906.0,6061.0,8894.541,6051.896
78,0,79,0,Label 1,1.0,0.0,293.0,14371.0,6064.0,14390.0,6087.0,14380.625,6074.0547
79,0,80,0,Label 1,1.0,0.0,270.0,8769.0,6072.0,8785.0,6095.0,8776.2705,6083.185
80,0,81,0,Label 1,1.0,0.0,295.0,10621.0,6084.0,10642.0,6103.0,10630.804,6094.38
81,0,82,0,Label 1,1.0,0.0,348.0,8795.0,6112.0,8815.0,6139.0,8804.043,6125.259
82,0,83,0,Label 1,1.0,0.0,269.0,9443.0,6129.0,9466.0,6146.0,9455.319,6135.7026
83,0,84,0,Label 1,1.0,0.0,247.0,16414.0,6168.0,16438.0,6182.0,16424.555,6174.7812
84,0,85,0,Label 1,1.0,0.0,142.0,11024.0,6307.0,11038.0,6321.0,11030.711,6313.521
85,0,86,0,Label 1,1.0,0.0,234.0,10036.0,6313.0,10055.0,6330.0,10044.833,6321.0386
86,0,87,0,Label 1,1.0,0.0,92.0,15780.0,6425.0,15795.0,6435.0,15787.076,6429.2827
87,0,88,0,Label 1,1.0,0.0,375.0,15958.0,6500.0,15975.0,6533.0,15966.824,6517.584
88,0,89,0,Label 1,1.0,0.0,137.0,10385.0,6549.0,10398.0,6563.0,10391.233,6555.7153
89,0,90,0,Label 1,1.0,0.0,377.0,15641.0,6615.0,15662.0,6640.0,15650.727,6627.772
90,0,91,0,Label 1,1.0,0.0,335.0,12892.0,6643.0,12909.0,6672.0,12900.412,6656.8745
91,0,92,0,Label 1,1.0,0.0,357.0,15676.0,6670.0,15705.0,6697.0,15689.776,6681.868
92,0,93,0,Label 1,1.0,0.0,261.0,17453.0,6715.0,17471.0,6735.0,17461.748,6724.1685
93,0,94,0,Label 1,1.0,0.0,175.0,16275.0,6760.0,16294.0,6772.0,16284.212,6765.509
94,0,95,0,Label 1,1.0,0.0,272.0,16017.0,6806.0,16036.0,6825.0,16026.412,6815.0186
95,0,96,0,Label 1,1.0,0.0,181.0,14303.0,6811.0,14319.0,6832.0,14311.006,6821.265
96,0,97,0,Label 1,1.0,0.0,73.0,17145.0,6832.0,17158.0,6840.0,17151.246,6835.4385
97,0,98,0,Label 1,1.0,0.0,15.0,15316.0,6833.0,15321.0,6838.0,15318.066,6834.6665
98,0,99,0,Label 1,1.0,0.0,317.0,11066.0,6863.0,11087.0,6885.0,11076.533,6872.9844
99,0,100,0,Label 1,1.0,0.0,331.0,15745.0,6868.0,15768.0,6890.0,15756.03,6878.0723
100,0,101,0,Label 1,1.0,0.0,395.0,10573.0,7042.0,10590.0,7073.0,10580.281,7055.9365
